1,United States,"-122.7832031 48.8647148 -124.4531250  48.0487099 -124.0136719  45.4601306 -124.1015625  41.5743613 -124.0136719  39.3682791 -121.3769531  36.0313318 -117.1582031  32.6208702 -114.8730469  32.3242756 -108.5449219  31.1281993 -105.9960938  31.5785354 -104.5019531  29.6880527 -101.9531250  29.4587312 -97.2070313  25.9580447 -96.5917969  27.6835281 -95.0976563  28.8446737 -92.9003906  29.4587312 -87.8906250  29.8406439 -84.9023438  29.8406439 -83.0566406  28.9216313 -82.1777344  26.6670958 -80.3320313  25.0855989 -80.1562500  27.3717673 -81.2109375  29.6880527 -80.4199219  32.1011897 -77.2558594  33.7243397 -75.5859375  35.7465123 -75.1464844  37.5097258 -73.8281250  38.8910328 -72.9492188  40.7139558 -70.8398438  41.4427264 -69.7851563  43.6440258 -66.9726563  44.8402907 -67.6757813  47.1000447 -69.2578125  47.1000447 -70.9277344  45.2130036 -73.1250000  44.9647979 -74.6191406  44.7155137 -76.4648438  43.7710938 -78.9257813  42.6177914 -82.7050781  41.6400784 -82.3535156  44.6530242 -84.3750000  46.3165842 -88.5937500  47.9899217 -95.0976563  48.8647148 -122.7832031  48.8647148 "
2,Africa,"-5.8007813  34.7416125 -11.4257813  27.9944014 -15.4687500  22.7559207 -15.4687500  18.1458518 -16.6992188  12.3829283 -13.1835938  7.8851473 -7.7343750  3.6888551 -2.1093750  4.5654736 4.0429688  6.3152985 8.6132813  3.8642546 9.8437500  -1.2303742  14.0625000  -10.4878119 11.7773438  -18.3128108 19.8632813  -34.8859309 27.0703125  -34.3071439 32.5195313  -28.9216313 35.5078125  -24.0464640 37.4414063  -18.4796091 41.3085938  -13.9234039  40.6054688  -5.2660079 47.4609375  2.8113712 50.2734375  11.0059045 39.1992188  16.9727410  35.5078125  25.1651734 30.7617188  30.9022247 25.6640625  31.2034050  20.7421875  31.8028926 19.8632813  29.9930023 12.1289063  33.1375512 10.1953125  36.7388841 6.8554688  36.5978891 2.1093750  35.8890501 -1.0546875  34.7416125 -5.8007813  34.7416125 "
3,South America,"-71.2792969 11.9533494 -74.9707031 10.7469693 -77.7832031 7.5367643 -77.9589844 2.9869274 -80.5957031 -3.5134210 -79.0136719 -9.2756222 -70.3125000 -20.0559313 -74.0039063 -42.3585439 -75.0585938 -47.6949743 -73.0371094 -53.5925048 -68.0273438 -55.4788535 -65.0390625 -54.8260080 -67.9394531 -50.9030328 -66.2695313 -46.4983923 -64.2480469 -41.9022770 -57.1289063 -37.7880814 -51.5039063 -32.1756125 -48.3398438 -27.0591258 -44.4726563 -23.6445242 -40.2539063 -20.6327843 -38.7597656 -14.4346802 -36.7382813 -11.6091934 -34.7167969 -8.3202123 -35.7714844 -4.9158328 -44.1210938 -2.5479879 -50.1855469 0.9667510 -53.3496094 5.2660079 -56.6015625 5.2660079 -62.0507813 10.3149193 -65.7421875 10.0554027 -71.2792969 11.9533494 "
4,Central America,"-92.1093750 14.2643831 -89.2968750 13.1543761 -86.4843750 11.9533494 -84.3750000 8.9284871 -82.5292969 7.1881009 -79.8046875 7.8851473 -77.9589844 6.8391696 -77.1679688 7.7109917 -79.5410156 9.1888701 -82.7050781 9.5357490 -83.3203125 12.2970683 -83.6718750 15.2841851 -87.8906250 15.6230368 -88.4179688 17.8114561 -91.1425781 17.1407904 -90.5273438 15.9613291 -91.4941406 15.4536802 -92.1093750 14.2643831 "
5,Mexico,"-117.3339844 32.3242756 -110.2148438 22.8369459 -109.4238281 23.4027649 -112.4121094 27.6056708 -114.6093750 31.4286631 -112.9394531 31.2034050 -108.4570313 25.1651734 -105.2050781 21.2074587 -105.2929688 19.3940679 -96.6796875 15.4536802 -94.5703125 16.0458135 -92.1972656 14.4346802 -90.5273438 16.1302620 -90.8789063 17.7277586 -87.8906250 18.0623123 -86.8359375 21.0434912 -90.0878906 20.8793430 -92.5488281 18.1458518 -95.8007813 19.2281767 -97.7343750 21.7799053 -97.4707031 24.5271348 -97.2949219 25.6415264 -101.2500000 29.4587312 -103.7109375 28.9985318 -106.6113281 31.5785354 -110.8300781 31.1281993 -114.6093750 32.7688005 -117.3339844 32.3242756 "
6,Canada,"-141.2402344 69.4729685 -140.8007813 60.1961558 -137.0214844 58.9046457 -135.5273438 59.5788510 -131.9238281 56.7045056 -129.6386719 55.8259733 -130.1660156 54.3677585 -122.2558594 48.8647148 -94.8339844 48.9224993 -89.0332031 47.9310663 -84.9023438 46.9802524 -82.1777344 42.5530803 -78.6621094 43.6440258 -73.6523438 44.6530242 -69.4335938 46.9802524 -67.5000000 46.9202553 -67.2363281 45.0269505 -61.0839844 45.4601306 -52.7343750 48.5747899 -56.8652344 55.1286491 -62.8417969 60.5005254 -60.9082031 66.5132604 -78.0468750 74.6832503 -125.8593750 75.0956327 -141.2402344 69.4729685 "
7,Australia,"142.7343750 -12.0393206 139.5703125 -17.6440220 136.2304688 -13.0687767 129.1992188 -14.6048472 126.3867188 -14.9447849 122.1679688 -18.9790260 116.3671875 -21.6165793 114.0820313 -25.0059727 115.1367188 -30.7512778 116.7187500 -34.8859309 122.5195313 -34.8859309 127.6171875 -33.1375512 134.6484375 -33.8704156 137.9882813 -36.0313318 141.5039063 -39.2322531 149.5898438 -38.2726885 152.5781250 -33.5780147 153.4570313 -26.9024769 149.5898438 -22.1059988 142.7343750 -12.0393206 "
8,India,"75.2343750 31.9521622 73.8281250 29.6880527 71.7187500 27.8390761 70.2246094 27.2936892 71.1035156 24.4471496 68.4667969 23.4834007 70.5761719 20.1384703 72.4218750 21.4530686 77.4316406 7.6238869 79.9804688 10.4878119 80.4199219 12.8974892 80.9472656 15.8768091 89.3847656 22.1059988 88.1542969 26.3524979 81.2988281 27.6835281 75.2343750 31.9521622 "
9,China,"87.6269531 48.7489453 85.3417969 46.8000594 82.2656250 45.2130036 80.5078125 42.3585439 75.3222656 40.3130432 75.7617188 37.7185903 78.5742188 34.3797126 81.2988281 30.0690940 86.9238281 27.8390761 92.1093750 28.2269700 95.9765625 29.0753752 98.7011719 26.8240708 99.9316406 22.0245456 103.9746094 22.4313402 108.3691406 21.2893744 111.1816406 21.2074587 116.1914063 22.5937261 120.3222656 26.9024769 121.8164063 31.0529340 119.5312500 34.8859309 122.7832031 36.8092847 119.7949219 36.8092847 117.9492188 38.2726885 121.3769531 40.6473036 121.8164063 39.0277188 127.4414063 41.6400784 131.3964844 44.5278428 134.2968750 48.1660854 127.6171875 49.6676278 126.0351563 52.8558642 121.0253906 52.8027614 116.8945313 49.5537255 115.7519531 47.8131545 119.6191406 46.6192610 112.0605469 44.5904672 104.9414063 41.5743613 96.6796875 42.7470122 91.2304688 45.1510533 87.6269531 48.7489453 "
10,Western Europe,"29.3554688 69.6570863 26.1914063 70.6708811 17.5781250 69.3493386 4.2187500 63.2336274 -10.8984375 51.9442649 -8.0859375 36.1733569 -1.5820313 36.1733569 1.0546875 40.7139558 8.6132813 43.9611906 15.6445313 38.1345566 22.3242188 36.7388841 24.7851563 40.0444376 34.1015625 45.8287993 39.0234375 48.9224993 29.3554688 55.6775844 29.3554688 69.6570863 "
11,Russia,"31.9921875 69.5345176 28.4765625 58.2632871 44.6484375 48.8068635 62.2265625 53.7487108 92.9882813 50.7364551 117.5976563 49.2678046 126.5625000 52.4827802 132.8906250 43.3251777 137.2851563 55.1788677 153.9843750 59.2658806 162.7734375 61.5226949 155.9179688 56.5594825 157.1484375 50.9584267 166.1132813 59.8889369 177.8906250 62.0215282 190.0195313 66.2314575 162.5976563 69.7789518 134.4726563 71.4691242 112.8515625 74.2597384 105.8203125 77.1571625 95.4492188 75.8021185 61.3476563 68.8476651 31.9921875 69.5345176 "
12,South Atlantic Ocean,"-34.4531250 -6.8391696 -38.4960938 -14.6048472 -41.1328125 -24.2068896 -47.1093750 -25.9580447 -50.2734375 -32.3985158 -58.5351563 -39.9097362 -63.4570313 -45.7061793 -63.4570313 -54.3677585 18.4570313 -38.4105583 11.9531250 -19.9733488 12.4804688 -8.9284871 7.3828125 2.8113712 1.0546875 4.5654736 -8.2617188 4.0396178 -34.4531250 -6.8391696 "
13,North Atlantic Ocean,"-34.4531250 -6.8391696 -10.3710938 3.8642546 -17.0507813 13.2399455 -16.8750000 21.7799053 -10.5468750 31.9521622 -8.9648438 36.8796206 -9.1406250 51.3992057 -14.4140625 57.9848080 -55.3710938 53.8525266 -52.9101563 45.7061793 -62.2265625 43.7075935 -69.6093750 42.0329743 -74.3554688 36.4566360 -78.9257813 29.9930023 -75.9375000 23.8858377 -63.1054688 11.5230875 -47.4609375 0.0000000 -34.4531250 -6.8391696 "
